,age,c_weight,course,date,field,head_count,horse_name,j_weight,jackie,odds,popu,race,race_name,rank,sex,trainerA,trainerB,weight,year
20080101010100,2,0,芝1500m,8/16(土),札幌,14頭,ディアジーナ,54.0,四位,4.3,2,1R,２歳未勝利,1,牝,美浦,田村,468,2008.0
20080101010101,2,0,芝1500m,8/16(土),札幌,14頭,アイディンパワー,54.0,藤田,5.2,4,1R,２歳未勝利,2,牡,栗東,本田,460,2008.0
20080101010102,2,+2,芝1500m,8/16(土),札幌,14頭,ウインリーズン,54.0,安藤勝,3.1,1,1R,２歳未勝利,3,牡,美浦,加藤征,442,2008.0
20080101010103,2,-4,芝1500m,8/16(土),札幌,14頭,ヴァンエボン,54.0,小林徹,23.0,8,1R,２歳未勝利,4,牡,栗東,山内,482,2008.0
20080101010104,2,-20,芝1500m,8/16(土),札幌,14頭,ラヴェリータ,54.0,長谷川,21.9,6,1R,２歳未勝利,5,牝,栗東,松元,484,2008.0
20080101010105,2,-4,芝1500m,8/16(土),札幌,14頭,ドリームクェーサー,54.0,池添,4.6,3,1R,２歳未勝利,6,牡,栗東,西浦,452,2008.0
20080101010106,2,-10,芝1500m,8/16(土),札幌,14頭,ヨイチラブソング,52.0,△三浦,10.4,5,1R,２歳未勝利,7,牡,美浦,菅原,464,2008.0
20080101010107,2,-6,芝1500m,8/16(土),札幌,14頭,マキノワールド,54.0,大野,154.0,12,1R,２歳未勝利,8,牡,美浦,土田,446,2008.0
20080101010108,2,-8,芝1500m,8/16(土),札幌,14頭,メジロデューチン,53.0,☆北村友,111.7,11,1R,２歳未勝利,9,牡,美浦,高橋裕,418,2008.0
20080101010109,2,+2,芝1500m,8/16(土),札幌,14頭,スマイルミッキー,54.0,横山典,22.9,7,1R,２歳未勝利,10,牡,栗東,松永幹,474,2008.0
20080101010110,2,0,芝1500m,8/16(土),札幌,14頭,スズカフレーム,54.0,芹沢,81.2,10,1R,２歳未勝利,11,牡,栗東,橋田,462,2008.0
